order_id,payment_sequential,payment_type,payment_installments,payment_value,origen,seller_id,seller_zip_code_prefix,seller_city,seller_state,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,order_item_id,product_id,shipping_limit_date,price,freight_value,customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,ï»¿product_category_name,product_category_name_english,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
b81ef226f3fe1789b1e8b2acac839d17,1.0,credit_card,8.0,99.33,olist_order_payments_dataset.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9810da82917af2d9aefd1278f1dcfa0,1.0,credit_card,1.0,24.39,olist_order_payments_dataset.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25e8ea4e93396b6fa0d3dd708e76c1bd,1.0,credit_card,1.0,65.71,olist_order_payments_dataset.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba78997921bbcdc1373bb41e913ab953,1.0,credit_card,8.0,107.78,olist_order_payments_dataset.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42fdf880ba16b47b59251dd489d4441a,1.0,credit_card,2.0,128.45,olist_order_payments_dataset.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298fcdf1f73eb413e4d26d01b25bc1cd,1.0,credit_card,2.0,96.12,olist_order_payments_dataset.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771ee386b001f06208a7419e4fc1bbd7,1.0,credit_card,1.0,81.16,olist_order_payments_dataset.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d7239c394a212faae122962df514ac7,1.0,credit_card,3.0,51.84,olist_order_payments_dataset.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f78449c87a54faf9e96e88ba1491fa9,1.0,credit_card,6.0,341.09,olist_order_payments_dataset.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0573b5e23cbd798006520e1d5b4c6714,1.0,boleto,1.0,51.95,olist_order_payments_dataset.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset.csv,3442f8959a84dea7ee197c632cb2df15,13023.0,campinas,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset.csv,d1b65fc7debc3361ea86b5f14c68d2e2,13844.0,mogi guacu,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset.csv,ce3ad9de960102d0677a81f5d0bb7b2d,20031.0,rio de janeiro,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,olist_sellers_dataset.csv,c0f3eea2e14555b6faeea3dd58c1b1c3,4195.0,sao paulo,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
